Time;Time Code;Country Name;Country Code;GDP per capita (Current US$);Proportion of seats held by women in national parliaments (%);Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate);Unemployment, total (% of total labor force) (modeled ILO estimate);Inflation, consumer prices (annual %);Population, total;GDP growth (annual %) 
2024;YR2024;Afghanistan;AFG;..;..;5,123;13,687;-6,601185641;42647492;..
2024;YR2024;Albania;ALB;11377,77574;35,71428571;58,154;10,689;2,215873751;2377128;4,045928451
2024;YR2024;Algeria;DZA;5752,990767;7,862407862;14,306;11,655;4,046114553;46814308;3,699999999
2024;YR2024;American Samoa;ASM;..;..;..;..;..;46765;..
2024;YR2024;Andorra;AND;49303,64917;50;..;..;..;81938;3,371820326
2024;YR2024;Angola;AGO;2665,874448;39,54545455;72,359;14,02;28,24049489;37885849;4,423906644
2024;YR2024;Antigua and Barbuda;ATG;23542,45269;5,555555556;..;..;6,198866988;93772;3,65638766
2024;YR2024;Argentina;ARG;13969,78366;42,41245136;52,281;7,15;219,883929;45696159;-1,342930722
2024;YR2024;Armenia;ARM;8556,21407;36,44859813;51,586;12,405;0,269511978;3033500;5,9
2024;YR2024;Aruba;ABW;39498,59413;..;..;..;..;107995;6,810776693
2024;YR2024;Australia;AUS;64603,98563;38;62,647;3,942;3,161614283;27196812;1,373407734
2024;YR2024;Austria;AUT;58268,87877;36,06557377;55,408;5,2;2,937915743;9177982;-0,659089573
2024;YR2024;Azerbaijan;AZE;7283,849908;20,8;61,35;5,648;2,212171889;10202830;4,07140205
2024;YR2024;Bahamas, The;BHS;39455,44665;17,94871795;70,973;9,049;0,409162489;401283;3,378665533
2024;YR2024;Bahrain;BHR;29653,56827;20;42,406;1,084;0,91963546;1588670;2,603796706
2024;YR2024;Bangladesh;BGD;2593,416117;..;38,708;3,635;10,46574828;173562364;4,223259113
2024;YR2024;Barbados;BRB;26544,87073;26,66666667;61,371;6,448;-0,44011294;282467;2,48226214
2024;YR2024;Belarus;BLR;8317,633999;33,63636364;57,229;3,458;5,785319104;9132629;4,009848525
2024;YR2024;Belgium;BEL;56614,56795;41,33333333;49,97;5,7;3,143491365;11858610;1,07045413
2024;YR2024;Belize;BLZ;7681,244006;15,625;43,833;8,698;3,28955986;417072;3,50466435
2024;YR2024;Benin;BEN;1485,380189;26,60550459;74,985;1,637;1,160930896;14462724;7,453115662
2024;YR2024;Bermuda;BMU;142855,3747;..;..;..;..;64636;5,972532601
2024;YR2024;Bhutan;BTN;..;4,255319149;56,636;3,282;2,761315696;791524;..
2024;YR2024;Bolivia;BOL;4421,166099;46,15384615;72,389;3,274;5,099765683;12413315;-1,123355955
2024;YR2024;Bosnia and Herzegovina;BIH;9358,78769;19,04761905;39,399;10,69;1,692127336;3164253;2,971517462
2024;YR2024;Botswana;BWA;7695,753194;8,695652174;63,45;23,81;2,818351317;2521139;-2,989868795
2024;YR2024;Brazil;BRA;10310,54888;17,54385965;53,576;6,801;4,367464077;211998573;3,419315166
2024;YR2024;British Virgin Islands;VGB;..;..;..;..;..;39471;..
2024;YR2024;Brunei Darussalam;BRN;33153,47389;11,76470588;54,71;5,18;-0,388674165;462721;4,052517093
2024;YR2024;Bulgaria;BGR;17596,01737;20,83333333;50,487;4,2;2,44651943;6441421;3,387090638
2024;YR2024;Burkina Faso;BFA;981,9926498;18,30985915;64,113;3,441;4,190817213;23548781;4,799809517
2024;YR2024;Burundi;BDI;219,4248309;38,21138211;79,728;0,915;20,2124925;14047786;4,112273763
2024;YR2024;Cabo Verde;CPV;5192,481573;38,88888889;50,429;11,883;1,048170011;524877;7,24388539
2024;YR2024;Cambodia;KHM;2627,879698;13,6;77,299;0,254;0,808042017;17638801;5,975109396
2024;YR2024;Cameroon;CMR;1830,008337;33,88888889;57,104;3,603;4,533313497;29123744;3,524723081
2024;YR2024;Canada;CAN;54340,34772;30,6547619;60,415;6,351;2,381583833;41288599;1,55479521
2024;YR2024;Cayman Islands;CYM;..;..;..;..;..;74457;..
2024;YR2024;Chad;TCD;961,5597556;26,10837438;47,554;1,053;8,899507323;20299123;4,199258541
2024;YR2024;Channel Islands;CHI;..;..;49,628;6,031;..;168126;..
2024;YR2024;Chile;CHL;16709,8894;35,48387097;52,784;8,718;4,297638916;19764771;2,644311549
2024;YR2024;China;CHN;13303,14815;26,536782;59,448;4,59;0,218128938;1408975000;4,977356592
2024;YR2024;Colombia;COL;7919,208868;29,41176471;51,719;9,619;6,609085937;52886363;1,598331537
2024;YR2024;Comoros;COM;1662,756633;16,66666667;47,126;3,815;5,051926096;866628;3,338101094
2024;YR2024;Congo, Dem. Rep.;COD;649,3833386;12,99790356;61,886;4,421;..;109276265;6,126755518
2024;YR2024;Congo, Rep.;COG;2482,248995;14,56953642;65,604;19,895;3,091436309;6332961;2,579669439
2024;YR2024;Costa Rica;CRI;18587,15322;49,12280702;45,982;6,936;-0,412853001;5129910;4,321224296
2024;YR2024;Cote d'Ivoire;CIV;2727,893522;13,38582677;59,465;2,273;3,450530281;31934230;6,019534619
2024;YR2024;Croatia;HRV;24050,43979;33,11258278;47,541;5;2,972004776;3866200;3,826887029
2024;YR2024;Cuba;CUB;..;55,74468085;40,393;1,755;..;10979783;-1,061732732
2024;YR2024;Curacao;CUW;22832,8954;..;..;..;..;155967;5,0269
2024;YR2024;Cyprus;CYP;38674,29297;14,28571429;61,408;4,9;1,800230186;1358282;3,940773817
2024;YR2024;Czechia;CZE;31823,30783;26;53,656;2,6;2,435312024;10905028;1,23308612
2024;YR2024;Denmark;DNK;71026,48323;45,25139665;60,902;5,358;1,372200498;5976992;3,477835931
2024;YR2024;Djibouti;DJI;3552,723351;26,15384615;19,235;26,007;2,07655388;1168722;6,980484673
2024;YR2024;Dominica;DMA;10405,27878;37,5;..;..;2,569218904;66205;2,052738473
2024;YR2024;Ecuador;ECU;6874,70574;43,06569343;52,394;3,453;1,547325156;18135478;-2,001254763
2024;YR2024;Egypt, Arab Rep.;EGY;3338,473714;27,7027027;18,468;6,817;28,27058993;116538258;2,399169268
2024;YR2024;El Salvador;SLV;5579,659692;31,66666667;48,957;3,261;0,853782293;6338193;2,602020161
2024;YR2024;Equatorial Guinea;GNQ;6745,400132;32;53,044;8,293;2,921402273;1892516;0,907248246
2024;YR2024;Eritrea;ERI;..;..;72,854;5,947;..;3535603;..
2024;YR2024;Estonia;EST;31428,35478;29,7029703;61,258;7,6;3,520560533;1372341;-0,090042865
2024;YR2024;Eswatini;SWZ;3909,558924;21,62162162;48,422;34,643;..;1242822;2,97391076
2024;YR2024;Ethiopia;ETH;1133,882797;41,31355932;58,391;3,357;21,03774606;132059767;7,612774475
2024;YR2024;Euro area;EMU;46945,41882;33,98812243;51,88370534;6,386332686;2,18497407;351161936;0,911910157
2024;YR2024;Faroe Islands;FRO;74119,66076;..;..;..;..;54681;0,843716851
2024;YR2024;Fiji;FJI;6425,741517;9,090909091;38,501;5,361;4,511382565;928784;3,530858961
2024;YR2024;Finland;FIN;53149,76719;46;56,668;8,4;1,565689062;5619911;0,416171965
2024;YR2024;France;FRA;46103,08409;36,04852686;51,773;7,4;1,999049423;68551653;1,190467983
2024;YR2024;French Polynesia;PYF;22439,88387;..;46,983;11,613;..;281807;1,126388977
2024;YR2024;Gabon;GAB;8230,043115;25,51020408;41,808;20,091;1,173119984;2538952;3,394038996
2024;YR2024;Gambia, The;GMB;871,3402918;..;45,428;6,48;11,56105329;2759988;5,551260695
2024;YR2024;Georgia;GEO;9241,491223;22,66666667;56,673;11,557;1,10971758;3699557;9,679793875
2024;YR2024;Germany;DEU;56103,73232;35,32608696;55,622;3,4;2,256498143;83516593;-0,495851897
2024;YR2024;Ghana;GHA;2390,772377;14,54545455;55,733;2,82;22,84832812;34427414;5,590454696
2024;YR2024;Gibraltar;GIB;..;..;..;..;..;39329;..
2024;YR2024;Greece;GRC;24626,14819;23;45,027;10,02;2,741490458;10405134;2,086574338
2024;YR2024;Greenland;GRL;..;..;..;..;..;56836;..
2024;YR2024;Grenada;GRD;11705,0903;31,25;..;..;1,086153651;117207;3,963325164
2024;YR2024;Guam;GUM;..;..;56,468;5,252;..;167777;..
2024;YR2024;Guatemala;GTM;6150,025714;20;38,42;2,613;2,869927529;18406359;3,651863829
2024;YR2024;Guinea;GIN;1694,953759;29,62962963;42,882;5,132;8,123139149;14754785;5,350046591
2024;YR2024;Guinea-Bissau;GNB;1007,741517;9,803921569;60,17;2,647;3,765558258;2201352;4,146311372
2024;YR2024;Guyana;GUY;29675,24439;39,43661972;47,381;11,874;2,903952264;831087;43,8193108
2024;YR2024;Haiti;HTI;2142,623305;..;58,321;14,609;26,94905641;11772557;-4,169633958
2024;YR2024;High income;HIC;50302,60521;30,91204037;54,48960169;4,369213386;2,385547534;1417841927;1,950007937
2024;YR2024;Honduras;HND;3426,434833;27,34375;39,617;4,91;4,606210981;10825703;3,553970033
2024;YR2024;Hong Kong SAR, China;HKG;54074,69285;..;52,256;2,988;1,729721191;7524100;2,504987585
2024;YR2024;Hungary;HUN;23292,32639;14,57286432;54,398;4,5;3,703703704;9562065;0,560117843
2024;YR2024;Iceland;ISL;86040,53099;46,03174603;70,252;3,6;5,8568385;386506;-0,970676469
2024;YR2024;India;IND;2694,737809;13,65313653;32,415;4,173;4,95303551;1450935791;6,494765524
2024;YR2024;Indonesia;IDN;4925,430488;21,03448276;53,588;3,301;2,181512736;283487931;5,030344694
2024;YR2024;Iran, Islamic Rep.;IRN;5190,16959;4,827586207;14,144;8,146;32,4558714;91567738;3,663120568
2024;YR2024;Iraq;IRQ;6073,610323;28,87537994;11,003;15,293;-12,29698376;46042015;-1,545251983
2024;YR2024;Ireland;IRL;112894,9532;25,28735632;59,838;4,3;2,113449996;5395790;2,599467216
2024;YR2024;Isle of Man;IMN;..;..;..;..;..;84160;..
2024;YR2024;Israel;ISR;54176,68444;25;62,196;3,595;3,074808898;9974400;0,871968424
2024;YR2024;Italy;ITA;40385,3414;32,25;41,03;6,5;0,982373023;58952704;0,692676948
2024;YR2024;Jamaica;JAM;7753,800696;27,41935484;62,913;3,151;5,41194448;2839175;-0,535039064
2024;YR2024;Japan;JPN;32487,0778;15,69892473;55,596;2,5;2,738536816;123975371;0,104309022
2024;YR2024;Jordan;JOR;4618,095925;19,56521739;16,008;16,693;1,556596113;11552876;2,488894096
2024;YR2024;Kazakhstan;KAZ;14154,6325;19,3877551;65,291;4,833;8,839438975;20592571;5
2024;YR2024;Kenya;KEN;2132,434521;23,27586207;63,012;5,487;4,489788542;56432944;4,724739947
2024;YR2024;Kiribati;KIR;2288,634714;11,11111111;..;..;2,455450722;134518;5,266897479
2024;YR2024;Korea, Dem. People's Rep.;PRK;..;17,61280932;77,722;3,539;..;26498823;..
2024;YR2024;Korea, Rep.;KOR;36238,63991;20;56,826;2,784;2,321743286;51751065;2,003611018
2024;YR2024;Kosovo;XKX;7023,065985;..;..;..;1,619449946;1594353;4,573097168
2024;YR2024;Kuwait;KWT;32717,71866;..;47,336;2,151;2,898550725;4897263;-2,560111
2024;YR2024;Kyrgyz Republic;KGZ;2420,185423;21,11111111;44,256;3,491;..;7221868;9,040135561
2024;YR2024;Latvia;LVA;23409,08452;32;55,516;6,9;1,265798858;1866124;-0,046108011
2024;YR2024;Lebanon;LBN;..;6,25;..;..;45,24304227;5805962;..
2024;YR2024;Lesotho;LSO;971,9077182;25;48,457;16,34;6,105446242;2337423;2,854522532
2024;YR2024;Liberia;LBR;851,4977239;10,95890411;72,021;2,914;8,214974391;5612817;4,02185465
2024;YR2024;Libya;LBY;6569,164087;16,47058824;33,28;19,085;2,126157669;7381023;1,89995052
2024;YR2024;Liechtenstein;LIE;..;28;..;..;..;40450;..
2024;YR2024;Lithuania;LTU;29384,01896;28,36879433;57,86;6,851;0,715735835;2888278;2,772631245
2024;YR2024;Luxembourg;LUX;137781,6817;33,33333333;57,645;6,4;2,0511327;677012;0,358612539
2024;YR2024;Macao SAR, China;MAC;72004,7437;..;63,512;2,262;..;687000;7,84960207
2024;YR2024;Madagascar;MDG;544,987501;15,95092025;82,915;3,051;..;31964956;4,2
2024;YR2024;Malawi;MWI;522,5703936;20,7253886;58,534;5,051;32,17965042;21655286;1,673434085
2024;YR2024;Malaysia;MYS;11874,42737;13,51351351;51,617;3,846;1,834100204;35557673;5,10545921
2024;YR2024;Maldives;MDV;13379,35136;3,225806452;40,455;4,278;1,399797797;527799;3,494404227
2024;YR2024;Mali;MLI;1094,619493;30,65693431;53,093;2,924;3,206398641;24478595;4,992269175
2024;YR2024;Malta;MLT;43898,57818;27,84810127;55,894;3,1;1,650794693;568847;6,799903002
2024;YR2024;Marshall Islands;MHL;7726,336689;12,12121212;..;..;..;37548;2,501927179
